name,type,address,latitude,longitude, GranadaHillsSaladBowlGardenClub,CommunityGarden,"16003 Rinaldi Street, Granada Hills, California, (34.27917819000004, -118.48080939099998)",34.2791713,-118.4804559
Wattles Farm,Community Garden,"1714 N Curson Avenue, Los Angeles, CA 9004, 34.10199104600008, -118.35501155199995)",34.1019922,-118.3550303
Messiah Organic Community Garden,Community Garden,"7300 West Manchester Avenue, Los Angeles, CA 9004, 33.959693077000054, -118.42254886999996)",33.9593934,-118.4231126
Vermont Square Community Garden,Community Garden,"4712 S Vermont Avenue, Los Angeles, CA 9003, 34.00009092600004, -118.29150677299998)",34.000099,-118.291154
Enrique Noguera Educational Garden,Community Garden,"6614 Fountain Avenue, Los Angeles, CA 9003, 34.09435534900007, -118.33371449399999)",34.0943714,-118.3337936
Epworth Community Garden,Community Garden,"1419 W 65th Street, Los Angeles, CA 9004, 33.98062804400007, -118.30074157399997)",33.9806263,-118.3009406
Eastwind Community Garden,Community Garden,"110 Eastwind Street, Marina Del Rey, CA 9029, 33.977245786000026, -118.46316565099994)",33.9772294,-118.4632544
Moothart Collingnon/Francis Avenue Community Garden,Community Garden,"2909 Francis Avenue, Los Angeles, CA 9000, 34.056847719000075, -118.28941998999994)",34.057077,-118.289425
The Learning Garden,Community Garden,"1300 Venice Blvd, Los Angeles, CA 9000, 34.04290510900006, -118.28222053399998)",34.0427696,-118.2822406
Rosecrans Farms,Community Garden,"561 W 146th Street, Gardena, CA 9024, 33.89964767200007, -118.28525910099995)",33.8997839,-118.2852654
John S. Gibson Senior Garden,Community Garden,"1500 S Harbor Blvd, San Pedro, CA 9073, 33.73094877400007, -118.279958637)",33.7302093,-118.2799679
Stanford Avalon Community garden,Community Garden,"658 E 111th Place, Los Angeles, CA 9005, 33.93417627300005, -118.26377086299999)",33.9341804,-118.2637926
Salesian Boys & Girls Club Community Garden,Community Garden,"2228 E 4th Street, Los Angeles, CA 9003, 34.04122508200004, -118.21322074599999)",34.0409894,-118.2135235
Tarzana Community Garden,Community Garden,"18702 Erwin Street, San Fernando Valley, CA 9133, 34.18384300200006, -118.54066927899999)",34.1836591,-118.5406491
Rancho San Pedro Community Garden,Community Garden,"275 W 1st Street, San Pedro, CA 9073, 33.74327698400003, -118.28301723599998)",33.7430661,-118.2830236
Eagle Rockdale Community Garden and Art Park,Community Garden,"1003 Rockdale Avenue, Los Angeles, CA 9004, 34.13392643900005, -118.18878835899994)",34.1345501,-118.1879229
Holy Nativity Community Garden,Community Garden,"6700 West 83rd Street, Westchester, CA 9004, 33.96343338400004, -118.40646992899997)",33.9631099,-118.4065372
Emerson Avenue Community Garden,Community Garden,"6550 W 80th Street, Westchester, CA 9004, 33.96923397100005, -118.40476339999998)",33.9677904,-118.4038765
Bougainvillea Community Garden,Community Garden,"E 103rd, Los Angeles, CA 9000, 33.94256766900003, -118.25886981299999)",33.9426844,-118.2564836
Project Youth Green,Community Garden,"12467 W Osborne Street, Los Angeles, California, (34.25777331100005, -118.40466851899998)",34.2594981,-118.4053868
Elysian Valley Community Garden,Community Garden,"1816 W Blake Avenue, Los Angeles, CA 9003, 34.09722482600006, -118.24296690099999)",34.0971922,-118.2430766
Proyecto Jardin,Community Garden,"1718 Bridge Street, Los Angeles, CA 9003, 34.051895211000044, -118.21661075899999)",34.051656,-118.216757
Manzanita Street Community Garden,Community Garden,"1101 Manzanita Street, Los Angeles, CA 9002, 34.09348167700006, -118.28090701699995)",34.0934191,-118.2809559
North Hollywood Community Garden,Community Garden,"11800 Weddington Street, North Hollywood, CA 9160, 34.16666393400004, -118.39178557499997)",34.1665784,-118.3905732
Norman Harriton Community Garden,Community Garden,"2037 N Sanborn Avenue, Los Angeles, CA 9002, 34.104141973000026, -118.27865306899997)",34.1041372,-118.278644
El Sereno Community Garden,Community Garden,"5466 Huntington Drive, Los Angeles, CA 9003, 34.092496624000034, -118.16162328499996)",34.0921414,-118.1615749
Venice Community Garden,Community Garden,"643 Mildred Avenue, Venice, CA 9029, 33.98726245800003, -118.46188133599998)",33.9872471,-118.4619502
Howard Finn Community Garden,Community Garden,"7747 Foothill Blvd, Tujunga, California, (34.25813176300005, -118.30169870499998)",34.2577962,-118.3009159
Mansfield Fountain Community Garden,Community Garden,"1259 N Mansfield Avenue, Los Angeles, CA 9003, 34.09361321000006, -118.340501873)",34.094111,-118.3405059
Mothers of East LA Community Garden,Community Garden,"1020 S Fickett Street, Los Angeles, CA 9002, 34.031341471000076, -118.21534039799997)",34.0307621,-118.215246
San Pedro Gardens,Community Garden,"1400 N Gaffey Street, San Pedro, CA 9073, 33.73126012100005, -118.29234678599994)",33.7596412,-118.2917918
Rosewood Gardens,Community Garden,"4160 41276 Rosewood Avenue, Los Angeles, CA 9000, 34.075720587000035, -118.30301712299996)",34.078655,-118.295471
Parkman Gardens,Community Garden,"20800 Burbank Blvd, Woodland Hills, CA 9136, 34.171943388000045, -118.58674902799999)",34.170387,-118.586746
Jardin Del Rio,Community Garden,"2363 N Riverdale Avenue, Los Angeles, CA 9003, 34.09173305100006, -118.23403902199999)",34.0916172,-118.2340746
Good Earth Community Garden,Community Garden,"Clyde Avenue, Los Angeles, CA 9120, 34.03038872700006, -118.36767758199994)",34.0312483,-118.3673797
WE Garden,Community Garden,"1010 Abbot Kinney Blvd, Venice, CA 9020, 33.99211615300004, -118.47218907199999)",33.9916065,-118.4722
Crenshaw Community Garden,Community Garden,"1423 S Crenshaw Blvd, Los Angeles, CA 9001, 34.04619602500003, -118.32762735099999)",34.046327,-118.327947
Yamazaki Memorial Community Garden,Community Garden,"961 S Mariposa Avenue, Los Angeles, CA 9000, 34.05387022200006, -118.298991995)",34.0539719,-118.2992088
Rosemary & Thyme Community garden,Community Garden,"10161 Jordan Avenue, Chatsworth, CA 9131, 34.25474981600007, -118.60390304799995)",34.2549346,-118.6041787
Growing Great Dreams,Community Garden,"125 E Martin Luther King Jr Boulevard, Los Angeles, CA 9001, 34.011177185000065, -118.27269605799995)",34.0111722,-118.2727925
Union Avenue/Cesar Chavez Community Garden,Community Garden,"1136 S Union Avenue, Los Angeles, CA 9001, 34.04670418200004, -118.27568363899996)",34.047382,-118.2752729
Greater Watts Community Garden,Community Garden,"660 E 118th Place, Los Angeles, CA 9005, 33.92644283300007, -118.26299932099994)",33.9255557,-118.2629321
Milagro Allegro Community Garden,Community Garden,"115 S Avenue, Los Angeles, CA 9004, 34.08733119000004, -118.32063535099996)",34.1137199,-118.1864324
Erika J. Glazer Community Garden,Community Garden,"2632 Raymond Avenue, Los Angeles, CA 9000, 34.03170032000003, -118.298016013)",34.031707,-118.297773
Van Nuys Garden Center,Community Garden,"16400 Chase Street, North Hills, CA 9134, 34.224755550000054, -118.48964637099999)",34.2247749,-118.4897505
Ocean View Farms,Community Garden,"3300 S Centinela Avenue, Mar Vista, CA 9006, 34.01472864200008, -118.44193053599997)",34.0141171,-118.4407318
Fremont Wellness Center & Community garden,Community Garden,"7821 S Avalon Blvd, Los Angeles, CA 9000, 33.968167884000025, -118.26519727599998)",33.9682258,-118.2651723
Arleta Community Garden,Community Garden,"8800 Canterbury Avenue, San Fernando Valley, CA 9133, 34.22961903400005, -118.42451217799999)",34.2289521,-118.4238041
Vista Hermosa Gardens,Community Garden,"1590 E 114th Street, Los Angeles, CA 9005, 33.931087181000066, -118.24652602499998)",33.9306468,-118.2466072
Sepulveda Garden Center,Community Garden,"16633 Magnolia Boulevard, Encino, CA 9131, 34.16495650300004, -118.49550040099996)",34.1653335,-118.4953656
Orcutt Ranch Horticultural Center Rancho Sombra del Roble,Community Garden,"23600 Roscoe Blvd, West Hills, CA 9130, 34.219132785000056, -118.64119895299996)",34.2183664,-118.6403552
Fountain Community Gardens,Community Garden,"5620 Fountain Avenue, Los Angeles, CA 9002, 34.094742309000026, -118.31178217299998)",34.0943792,-118.3116817
Glassell Park Community Garden,Community Garden,"3305 Drew Street, Los Angeles, CA 9006, 34.12005433500008, -118.24300594999994)",34.1200402,-118.2429799
Solano Canyon Community Garden,Community Garden,"545 Solano Avenue, Los Angeles, CA 9001, 34.07418256500006, -118.23143009599994)",34.0745923,-118.2316003
Mar Vista Community Garden,Community Garden,"5075 S Slauson Avenue, Culver City, CA 90230, (33.993487198000025, -118.40685594399997)",33.993263,-118.406796