fm_id,name,category,address_1,city,state,zipcode,phone,website,season_open,season_close,day_open,time_open,time_close,longitude,latitude,EBT,day1_open,day1_close,day2_open,day2_close,day3_open,day3_close,day4_open,day4_close,day5_open,day5_close,day6_open,day6_open,day7_open,day7_close
,Acton Farmers Market,Farmers Market,3801 Sierra Way,Acton,California,93510,,,5/1,10/31,3,4:00 PM,7:30 PM,-118.2004,34.4927,,,,,,4:00 PM,7:30 PM,,,,,,,,
,Adams - Vermont Farmers Market,Farmers Market,1432 W Adams Blvd,Los Angeles,California,90007,,,,,4,2:00 PM,6:00 PM,-118.2926,34.0326,Y,,,,,,,2:00 PM,6:00 PM,,,,,,
,Agoura Hills Farmers Market,Farmers Market,5835 Kanan Rd,Agoura Hills,California,91310,,,,,1,9:00 AM,2:00 PM,-118.7572,34.1569,,9:00 AM,2:00 PM,,,,,,,,,,,,
,Alhambra Farmers Market,Farmers Market,11 S. 2nd Street,Alhambra,California,91801,,,,,,,,-118.1288,34.0937,Y,8:30 AM,1:00 PM,,,,,,,5:00 PM,9:30 PM,,,,
1009998,Altadena Farmers Market,Farmers Market,600 W. Palm Street,Altadena,California,91001,,,1/8,3/5,4,3:00 PM,7:00 PM,-118.1581,34.2004,Y,,,,,,,3:00 PM,7:00 PM,,,,,,
1011248,Antelope Valley Winery Farmers Market,Farmers Market,42041 20th St. West,Lancaster,California,93534,,,5/30,11/28,7,9:00 AM,12:00 PM,-118.1662,34.647,,,,,,,,,,,,,,9:00 AM,12:00 PM
,Arcadia Street Fair Farmers Market,Farmers Market,Wheeler Ave. @ 1st Street,Arcadia,California,91016,,,,,6,5:00 PM,9:00 PM,-118.0284,34.1412,,,,,,,,,,,,5:00 PM,9:00 PM,,
,Arts District Little Tokyo Farmers Market,Farmers Market,200 N Spring St,Los Angeles,California,90012,,,,,5,10:00 AM,2:00 PM,-118.2432,34.054,Y,,,,,,,,,10:00 AM,2:00 PM,,,,
1010003,Atwater Village Farmers Market,Farmers Market,3250 Glendale Blvd,Los Angeles,California,90039,,,,,1,10:00 AM,2:00 PM,-118.2602,34.1182,Y,10:00 AM,2:00 PM,,,,,,,,,,,,
,Baldwin La Brea Farmers Market,Farmers Market,3601 S. La Brea Ave.,Los Angeles,California,90016,,,,,7,9:00 AM,2:00 PM,-118.3561,34.0212,Y,,,,,,,,,,,,,9:00 AM,2:00 PM
1003720,Baldwin Park Farmers Market,Farmers Market,Baldwin Park - Cesar Chavez & Ramond,Baldwin Park,California,91706,,,,,,,,-117.965,34.0856,,,,,,,,,,,,,,,
,Bank Of America Plaza Farmers Market,Farmers Market,333 S Hope St,Los Angeles,California,90021,,,,,6,11:00 AM,3:00 PM,-118.2529,34.0533,,,,,,,,,,,,11:00 AM,3:00 PM,,
1004973,Bellflower Farmers Market,Farmers Market,16614 Clark Ave at Oak Street,Bellflower,California,90706,,,,,2,9:00 AM,1:00 PM,-118.1339,33.8837,,,,9:00 AM,1:00 PM,,,,,,,,,,
,Beverly Glen Center Farmers Market,Farmers Market,2936 Beverly Glen Circle,Los Angeles,California,,,,,,7,8:00 AM,2:00 PM,-118.4437,34.1275,,,,,,,,,,,,,,8:00 AM,2:00 PM
1001460,Beverly Hills Farmers Market,Farmers Market,9300 Civic Center Drive,Beverly Hills,California,90210,,,1/1,12/31,1,9:00 AM,1:00 PM,-118.3989,34.0743,Y,9:00 AM,1:00 PM,,,,,,,,,,,,
,Bixby Park Farmers Market,Farmers Market,Bixby Street between 1st & 2nd Street,Long Beach,California,,,,1/1,12/31,3,3:00 PM,7:00 PM,-118.1799,33.8267,,,,,,3:00 PM,7:00 PM,,,,,,,,
,Bixby Park Farmers Market,Farmers Market,Bixby Street between 1st & 2nd Street,Long Beach,California,,,,1/1,12/31,7,9:00 AM,2:00 PM,-118.1799,33.8267,,,,,,,,,,,,,,9:00 AM,2:00 PM
,BLVD Farmers' Market,Farmers Market,758 West Lancaster Blvd,Lancaster,California,93534,,,,,5,4:00 PM,9:00 PM,,,Y,,,,,,,,,4:00 PM,9:00 PM,,,,
,Boyle Heights Farmers' Market,Farmers Market,1831 E 1st St,Los Angeles,California,90033,,,,,6,9:00 AM,3:00 PM,,,Y,,,,,,,,,,,9:00 AM,3:00 PM,,
,Bransdall Center Farmers Market,Farmers Market,4888 Hollywood Blvd,Los Angeles,California,90027,,,,,2,11:00 AM,5:00 PM,-118.2948,34.1017,,,,11:00 AM,5:00 PM,,,,,,,,,,
,Brentwood Village Farmers Market,Farmers Market,741 Gretna Green Way,Los Angeles,California,90049,,,,,1,9:00 AM,2:00 PM,-118.4751,34.0506,Y,9:00 AM,2:00 PM,,,,,,,,,,,,
1000843,Burbank Farmers Market,Farmers Market,150 N. Third Street Burbank,Burbank,California,91502,,,1/1,12/31,7,8:00 AM,12:30 PM,-118.308,34.1828,Y,,,,,,,,,,,,,8:00 AM,12:30 PM
,Cal State University Northridge (CSUN) Farmers Market (CFM),Farmers Market,18111 Nordhoff Street  Northridge,Northridge,California,91325,,,,,3,10:00 AM,2:00 PM,,,Y,,,,,10:00 AM,2:00 PM,,,,,,,,
1003449,Calabasas Old Town Farmers Market,Farmers Market,Calabasas & Mulholland Dr.,Calabasas,California,91303,(818) 591-8161,,,,,,,-118.636,34.1587,,,,,,,,,,,,8:00 AM,1:00 PM,,
1011132,Canoga Park Farmers Market,Farmers Market,7248 Owensmouth Ave,Canoga Park,California,91303,,,1/3,12/26,7,9:00 AM,1:30 PM,-118.6014,34.2025,Y,,,,,,,,,,,,,9:00 AM,1:30 PM
1000369,Carson Farmers Market,Farmers Market,Carson St. & Bonita St.,Carson,California,90810,,,,,,,,-118.259,33.8316,,,,,,,,,,,,,,,
1005208,Central Ave Farmers Market,Farmers Market,4301 Central Ave  at 43rd st,Los angeles  California,California,90011,,,1/1,12/31,5,10:00 AM,4:00 PM,-118.256,34.0058,Y,,,,,,,,,10:00 AM,4:00 PM,,,,
1003440,Century City Farmers Market,Farmers Market,1800 Ave of the Stars,Century City,California,90067,,,,,5,11:00 AM,2:00 PM,-118.4179,34.061,,,,,,,,,,11:00 AM,2:00 PM,,,,
1010147,Cerritos Farmers Market,Farmers Market,17870 Park plaza Drive,Cerritos,California,90703,,,,,7,8:00 AM,12:00 PM,-118.0625,33.8693,Y,,,,,,,,,,,,,8:00 AM,12:00 PM
1003729,Chatsworth Farmers Market,Farmers Market,Devonshire St.,Chatsworth,California,91311,,,,,,,,-118.597,34.2572,,,,,,,,,,,,,,,
,Children's Hospital LA CFM,Farmers Market,4650 Sunset Blvd.,Los Angeles,California,90027,,,,,4,10:00 AM,3:00 PM,,,Y,,,,,,,10:00 AM,3:00 PM,,,,,,
1002106,Claremont Farmers Market,Farmers Market,N Indian Hill Blvd & W 2Nd St,Claremont,California,91711,,,,,,,,-117.7193,34.0956,,8:00 AM,1:00 PM,,,,,,,,,,,,
1010233,Compton Blue Line Farmers Market,Farmers Market,101 E Palmer Street,Compton,California,90220,,,5/29,10/30,5,11:00 AM,7:00 PM,-118.224,33.8979,Y,,,,,,,,,11:00 AM,7:00 PM,,,,
1001500,Covina Farmers Market,Farmers Market,School St. and Citrus Ave.,Covina,California,,928-854-1105,,,,,,,-117.89,34.0893,,,,,,,,,,,,,,,
1001714,Crenshaw Baldwin Hill Farmers Market,Farmers Market,3650 W Martin Luther King Blvd,Los Angeles,California,90008,,,,,7,10:00 AM,3:00 PM,-118.3365,34.0112,,,,,,,,,,,,,,10:00 AM,3:00 PM
1005403,Culver City Farmers Market,Farmers Market,Main & Culver,Culver City,California,90232,,,,,,,,-118.396,34.0247,,,,,,,,,,,,,,,
,Del Ray Farmers Market,Farmers Market,461 Alla Road,Los Angeles,California,,,,,,6,2:00 PM,7:00 PM,-118.4255,33.9766,Y,,,,,,,,,,,2:00 PM,7:00 PM,,
1006035,Diamond Bar Farmers Market,Farmers Market,Calvary Chapel Church,Diamond Bar,California,91765,,,,,,,,-119.781,36.8199,,,,,,,,,,,,,,,
1006655,Downey Farmers Market,Farmers Market,La Reina Ave & 2Nd St,Downey,California,90242,,,,,7,9:00 AM,1:00 PM,-118.1342,33.942,,,,,,,,,,,,,,9:00 AM,1:00 PM
1006656,Downtown Los Angeles (B O. A) Farmers Market,Farmers Market,S Figueroa St & W 7Th St,Los Angeles,California,90017,,,,,6,10:00 AM,3:00 PM,-118.2599,34.0494,Y,,,,,,,,,,,10:00 AM,3:00 PM,,
1005577,Duarte,Farmers Market,E. Huntington Dr. & Buena Vista St.,DUARTE,California,,,,,,,,,-117.978,34.1397,,,,,,,,,,,,,,,
1006034,Eagle Rock Farmers Market,Farmers Market,2100 Merton Ave.,Los Angeles,California,90065,,,,,,,,-118.214,34.1391,Y,,,,,,,,,,,,,,
1010734,East Hollywood Farmers Market,Farmers Market,5448 Hollywood Boulevard,Los Angeles,California,90027,,,1/1,12/31,5,3:30 PM,7:30 PM,-118.309,34.1015,Y,,,,,,,,,3:30 PM,7:30 PM,,,,
,East LA Farmers' Market,Farmers Market,4801 East 3rd Street,Los Angeles,California,90022,,,,,4,10:00 AM,3:00 PM,,,Y,,,,,,,10:00 AM,3:00 PM,,,,,,
,East LA Farmers' Market,Farmers Market,4801 East 3rd Street,Los Angeles,California,90022,,,,,7,9:00 AM,2:00 PM,,,Y,,,,,,,,,,,,,9:00 AM,2:00 PM
1008271,East Los Angeles Farmers Market,Farmers Market,4848 East Civic Center Way,East Los Angeles,California,90022,,,5/1,9/30,4,10:00 AM,3:00 PM,-118.1686,34.0315,,,,,,,,10:00 AM,3:00 PM,,,,,,
1006657,East Village Long Beach Farmers Market,Farmers Market,1St Street and Elm St.,LONG BEACH,California,,,,,,,,,-118.188,33.7681,,,,,,,,,,,,,,,
1010019,Echo Park Farmers Market,Farmers Market,Logan St. and Sunset Blvd,Los Angeles,California,90026,,,1/1,12/31,6,3:00 PM,7:30 PM,-118.2586,34.0769,Y,,,,,,,,,,,3:00 PM,7:30 PM,,
1000024,El Segundo Plaza Farmers Market,Farmers Market,Grand & Eucalyptus,Los Angeles,California,90045,,,,,,,,-118.405,33.9208,,,,,,,,,,,,,,,
1000785,Encino Farmers Market,Farmers Market,17400 Victory Blvd in Van Nuys,Van Nuys,California,91406,,,,,1,8:00 AM,1:00 PM,-118.5141,34.1862,Y,8:00 AM,1:00 PM,,,,,,,,,,,,
1004328,Gardena Hollypark Farmers Market,Farmers Market,13000 Van Ness,Los Angeles,California,90047,,,,,,,,-118.318,33.931,Y,,,,,,,,,,,,,,
1004329,Gardena Wednesday Farmers Market,Farmers Market,1670 West 162 at La Salle,Los Angeles,California,90047,,,,,,,,-118.306,33.8841,,,,,,,,,,,,,,,
1006658,Gigis Farmers Market,Farmers Market,889 American Way,GLENDALE,California,,,,,,,,,-118.211,34.1251,,,,,,,,,,,,,,,
,Glassel Park Farmers Market,Farmers Market,3150 N. San Fernando Road,Los Angeles,California,,,,,,7,10:00 AM,3:00 PM,-118.2485,34.1156,Y,,,,,,,,,,,,,10:00 AM,3:00 PM
,Glendale Downtown Farmers Market,Farmers Market,227 N. Brand Ave.,Glendale,California,91203,,,,,3,2:00 PM,7:00 PM,-118.2555,34.1491,,,,,,2:00 PM,7:00 PM,,,,,,,,
1001352,Glendora Farmers Market,Farmers Market,Glendora Ave. & Foothill Blvd.,Glendora,California,91741,,,,,,,,-117.865,34.1352,,,,,,,,,,,,,,,
,Green Acres,Farmers Market,5000 East Spring Street,Long Beach,California,90815,,,,,1,8:30 AM,2:30 PM,,,Y,8:30 AM,2:30 PM,,,,,,,,,,,,
,Hawthorne - Del Aire Farmers Market,Farmers Market,13500 Aviation Boulevard,Hawthorne,California,90250,,,,,7,9:00 AM,1:00 PM,-118.3766,33.9094,,,,,,,,,,,,,,9:00 AM,1:00 PM
1006480,Hermosa Beach Farmers Market,Farmers Market,Valley Dr. between 8th St. & 10th St.,Hermosa Beach,California,90254,,,1/1,12/31,6,12:00 PM,4:00 PM,-118.3952,33.862,,,,,,,,,,,,12:00 PM,4:00 PM,,
,Historic Downtown Farmers' Market (CFM),Farmers Market,205 West 5th Street,Los Angeles,California,90013,,,,,1,9:30 AM,2:00 PM,,,Y,9:30 AM,2:00 PM,,,,,,,,,,,,
1000052,Hollywood Farmers Market,Farmers Market,1500 N Ivar Ave,Hollywood,California,90028,,,,,1,8:00 AM,1:00 PM,-118.3287,34.0981,Y,8:00 AM,1:00 PM,,,,,,,,,,,,
1001880,Hollywood Media Farmers Market,Farmers Market,1100 Block of Cole Ave.,Hollister,California,95023,,,,,,,,-121.607,36.7105,,,,,,,,,,,,,,,
,Howard Hughes Farmers Market,Farmers Market,6080 Center Drive,Los Angeles,California,90230,,,,,5,10:00 AM,2:00 PM,-118.3867,33.976,,,,,,,,,,10:00 AM,2:00 PM,,,,
1003705,Huntington Park Farmers Market,Farmers Market,3401 East Florence Avenue,Huntington Park,California,90255,,,1/1,12/31,4,9:30,1:30,-118.2048,33.973,Y,,,,,,,9:30 AM,1:30 PM,,,,,,
1011480,Inglewood Farmers Market,Farmers Market,Market Street and Manchester Blvd.,Inglewood,California,90302,,,,,5,3:00 PM,7:00 PM,-118.352,33.9617,Y,,,,,,,,,3:00 PM,7:00 PM,,,,
1003416,Jack New's Farmers Market,Farmers Market,1920 S Brea Canyon Cut Off,Walnut,California,,,,,,,,,-117.867,33.9835,,,,,,,,,,,,,,,
,Kaised Downey,Farmers Market,9333 E. Imperial Hwy in Kaiser Medical Center,Downey,California,90242,,,,,5,9:00 AM,2:00 PM,-118.1288,33.9192,,,,,,,,,,9:00 AM,2:00 PM,,,,
,Kaiser -La Cienga Farmers Market,Farmers Market,6041 Cadillac Ave,Los Angeles,California,90034,,,,,4,9:30 AM,1:30 AM,-118.3759,34.0381,Y,,,,,,,9:30 AM,1:30 PM,,,,,,
,Kaiser Baldwin Park Farmers Market,Farmers Market,1011 Baldwin Park Blvd,Baldwin Park,California,91706,,,,,6,7:30 AM,12:30 PM,-117.9859,34.0654,,,,,,,,,,,,7:30 AM,12:30 PM,,
1002541,Kaiser Medical Center Panorama City FM,Farmers Market,13652 Cantara Street,Panorama City,California,91402,,,1/1,12/31,4,9:00 AM,1:30 PM,-118.4301,34.2207,Y,,,,,,,9:00 AM,1:30 PM,,,,,,
1008975,Kaiser Medical Center Woodland Hills,Farmers Market,5601 De Soto Avenue,Woodland Hills,California,91367,,,1/2,12/18,5,10:00 AM,2:30 PM,-118.5897,34.1709,Y,,,,,,,,,10:00 AM,2:30 PM,,,,
1003673,Kaiser South Bay Farmers Market,Farmers Market,25825 S. Vermont Avenue,Harbor City,California,90710,,,1/1,12/31,4,10:00 AM,3:00 PM,-118.2937,33.7901,,,,,,,,10:00 AM,3:00 PM,,,,,,
1005578,Kenneth Village,Farmers Market,1435 W. Kenneth Rd.,GLENDALE,California,,,,,,,,,-118.281,34.173,,,,,,,,,,,,,,,
1002082,L.A. Central Avenue Farmers Market,Farmers Market,43rd St. & Central Ave.,Hollywood,California,90028,,,,,,,,-121.448,38.5706,,,,,,,,,,,,,,,
1005154,L.A. Chinatown Farmers Market,Farmers Market,727 North Hill & Alpine,Los Angeles,California,90012,,,,,,,,-118.24,34.0628,,,,,,,,,,,,,,,
,L.A. City Hall (Little Tokyo CFM),Farmers Market,200 North Main Street,Los Angeles,California,90012,,,,,,,,,,Y,,,,,,,,,,,,,,
1004896,L.A. Harambee Farmers Market,Farmers Market,Crenshaw & Slausan,Los Angeles,California,90010,,,,,,,,-118.331,33.989,,,,,,,,,,,,,,,
1003447,L.A. Larchmont Village Farmers Market,Farmers Market,"Larchmont Bldg., Lot #694",Los Angeles,California,90042,,,,,,,,-118.324,34.0834,Y,,,,,,,,,,,,,,
1003446,L.A. Melrose Place Farmers Market,Farmers Market,Melrose Place & Croft,Los Angeles,California,90029,,,,,,,,-118.374,34.0841,Y,,,,,,,,,,,,,,
1001269,L.A. Silverlake Farmers Market,Farmers Market,9700 Sunset Blvd.,Los Angeles,California,90029,,,,,,,,-118.282,34.0943,,,,,,,,,,,,,,,
1003441,L.A. Wilshire Center Farmers Market,Farmers Market,Mariposa & Wilshire,Tarzana,California,91356,,,,,,,,-119.016,36.0678,,,,,,,,,,,,,,,
1003444,La Canada Flintridge Farmers Market,Farmers Market,Beulah Dr. & Foothill Ave.,La Canada Flintridge,California,91011,,,,,,,,-118.198,34.2035,,,,,,,,,,,,,,,
,La Cienega Farmers Market (CFM),Farmers Market,1801 South La Cienega Blvd.,,California,90035,,,,,5,2:00 PM,7:00 PM,,,Y,,,,,,,,,2:00 PM,7:00 PM,,,,
,La Puente Live Farmers Market,Farmers Market,Main Street & First Street,La Puente,California,91744,,,7/1,12/31,6,6:00 PM,10:00 PM,-117.9523,34.0201,,,,,,,,,,,,6:00 PM,10:00 PM,,
,La Verne Farmers Market,Farmers Market,"3660 ""D"" Street between Bonita and 3rd Street",La Verne,California,91750,,,4/1,9/30,5,6:00 PM,10:00 PM,-117.771,34.102,,,,,,,,,,6:00 PM,10:00 PM,,,,
,Lancaster Farmers Market,Farmers Market,721 Lancaster Blvd.,Lancaster,California,93534,,,,,5,3:00 PM,8:00 PM,-118.1155,34.6968,Y,,,,,,,,,3:00 PM,8:00 PM,,,,
1003442,Larchmont Village Farmers Market,Farmers Market,209 N Larchmont Blvd,Los Angeles,California,90004,,,,,1,10:00 AM,2:00 PM,-118.3238,34.0749,,10:00 AM,2:00 PM,,,,,,,,,,,,
1001023,Lawndale Farmers Market,Farmers Market,14717 Burin Ave.,Lawndale,California,90260,,,1/1,12/31,4,2:00 PM,7:00 PM,-118.354,33.8982,,,,,,,,2:00 PM,7:00 PM,,,,,,
1011300,Lincoln Heights Farmers Market,Farmers Market,N. Broadway between Daly St & Workman parking lot,Los Angeles,California,90031,,,1/1,12/31,4,3:00 PM,7:00 PM,-118.2152,34.0729,Y,,,,,,,3:00 PM,7:00 PM,,,,,,
,Local Harvest Farmers Market,Farmers Market,E. Appian Way & Nito Ave.,Long Beach,California,90803,,,,,4,3:00 PM,7:00 PM,-118.1329,33.7685,,,,,,,,3:00 PM,7:00 PM,,,,,,
